Epochs,Losses,Accuracies
0,4.643996505737305,0.04
1,4.627949180603028,0.01
2,4.615519733428955,0.0
3,4.61971809387207,0.03
4,4.637230854034424,0.01
5,4.619207134246826,0.02
6,4.611507110595703,0.02
7,4.63046028137207,0.01
8,4.595801868438721,0.01
9,4.622754917144776,0.0
10,4.612909545898438,0.02
11,4.617022895812989,0.01
12,4.621177024841309,0.0
13,4.618392524719238,0.03
14,4.622897129058838,0.01
15,4.603618297576904,0.01
16,4.614448165893554,0.01
17,4.605590171813965,0.01
18,4.611268501281739,0.01
19,4.607308559417724,0.01
20,4.611308364868164,0.0
21,4.6167865562438966,0.0
22,4.597371139526367,0.0
23,4.622315406799316,0.0
24,4.607643642425537,0.01
25,4.60395565032959,0.03
26,4.615606269836426,0.0
27,4.616208076477051,0.01
28,4.620615501403808,0.02
29,4.612906227111816,0.01
30,4.613568706512451,0.0
31,4.605042152404785,0.0
32,4.615957584381103,0.0
33,4.60384952545166,0.01
34,4.609483795166016,0.01
35,4.597049674987793,0.02
36,4.613397521972656,0.0
37,4.610042533874512,0.02
38,4.602982215881347,0.02
39,4.604906330108642,0.02
40,4.600216255187989,0.02
41,4.577639808654785,0.04
42,4.585416374206543,0.03
43,4.589078311920166,0.03
44,4.57476577758789,0.02
45,4.556406917572022,0.0
46,4.572473888397217,0.01
47,4.560899982452392,0.01
48,4.537391662597656,0.02
49,4.525731182098388,0.01
