Epochs,Losses,Accuracies
0,4.652776050567627,0.0
1,4.621378383636475,0.02
2,4.622337169647217,0.03
3,4.635616245269776,0.01
4,4.6248227310180665,0.01
5,4.626217079162598,0.01
6,4.617796363830567,0.02
7,4.613768768310547,0.01
8,4.618231735229492,0.01
9,4.620816116333008,0.01
10,4.612492408752441,0.02
11,4.608299522399903,0.01
12,4.604489307403565,0.02
13,4.615944728851319,0.0
14,4.590552291870117,0.01
15,4.60976734161377,0.01
16,4.611650676727295,0.0
17,4.601074008941651,0.02
18,4.623795776367188,0.02
19,4.591107406616211,0.04
20,4.6123087692260745,0.0
21,4.594226341247559,0.04
22,4.61047441482544,0.01
23,4.615944137573242,0.03
24,4.607075386047363,0.0
25,4.601733455657959,0.02
26,4.5873306846618656,0.02
27,4.592293643951416,0.03
28,4.589920692443847,0.02
29,4.569519538879394,0.0
30,4.571062126159668,0.01
31,4.565338287353516,0.02
32,4.577258968353272,0.01
33,4.552520122528076,0.01
34,4.554638938903809,0.01
35,4.565129642486572,0.01
36,4.53719274520874,0.01
37,4.526604118347168,0.02
38,4.526159286499023,0.02
39,4.533931732177734,0.0
40,4.518897151947021,0.02
41,4.525956802368164,0.03
42,4.508481731414795,0.03
43,4.516364612579346,0.01
44,4.5017194747924805,0.01
45,4.495570011138916,0.03
46,4.464528503417969,0.05
47,4.4938676643371585,0.03
48,4.491258239746093,0.04
49,4.458375930786133,0.04
